original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating,imdb_scaled
The English Teacher,2013,"Comedy, Drama",93,USA,English,5.8,0.320013,41.0,58.0
Point Break,2015,"Action, Adventure, Crime",114,"China, Germany, USA, Austria, Italy, Canada","English, French, Spanish",5.3,133.718711,11.0,53.0
13 Sins,2014,"Horror, Thriller",93,USA,English,6.3,0.826913,65.0,63.0
Postman Pat: The Movie,2014,"Animation, Comedy, Family",88,"UK, USA, India, United Arab Emirates, Philippines, Jordan",English,4.6,7.102455,43.0,46.0
Song to Song,2017,"Drama, Music, Romance",129,USA,English,5.7,1.813453,44.0,57.0
Hello I Must Be Going,2012,"Comedy, Drama, Romance",95,USA,English,6.2,0.354939,75.0,62.0
Smashed,2012,Drama,81,USA,English,6.8,0.499725,83.0,68.0
The Longest Week,2014,"Comedy, Drama, Romance",86,USA,"English, French, German",5.4,0.04646,10.0,54.0
Rocketman,2019,"Biography, Drama, Music",121,"UK, USA, Canada",English,7.3,195.179299,89.0,73.0
Any Day Now,2012,Drama,98,USA,English,7.5,0.261747,79.0,75.0
The Happy House,2013,"Comedy, Horror",81,USA,English,4.4,0.002311,60.0,44.0
Sleepless,2017,"Action, Crime, Thriller",95,USA,English,5.6,32.917353,25.0,56.0
Holy Motors,2012,"Drama, Fantasy",115,"France, Germany","French, English, Chinese",7.1,1.954125,92.0,71.0
Steve Jobs,2015,"Biography, Drama",122,"UK, USA",English,7.2,34.441873,85.0,72.0
Barfi!,2012,"Comedy, Drama, Romance",151,India,Hindi,8.1,4.490134,86.0,81.0
The Best Man Holiday,2013,"Comedy, Drama",123,USA,English,6.7,72.83571,71.0,67.0
Trouble with the Curve,2012,"Drama, Sport",111,USA,English,6.8,48.963137,51.0,68.0
The Imitation Game,2014,"Biography, Drama, Thriller",114,"UK, USA","English, German",8.0,233.555708,89.0,80.0
Upstream Color,2013,"Drama, Sci-Fi",96,USA,English,6.7,0.587174,86.0,67.0
Black Butterfly,2017,"Crime, Mystery, Thriller",93,"Spain, USA, Italy",English,6.2,0.391431,40.0,62.0
Bad Johnson,2014,"Comedy, Fantasy, Romance",88,USA,English,4.5,0.02765,28.0,45.0
Elvis & Nixon,2016,"Comedy, History",86,USA,English,6.4,1.798432,77.0,64.0
Fort Bliss,2014,"Drama, War",116,"Turkey, USA",English,6.4,0.669247,75.0,64.0
Hours,2013,"Drama, Thriller",97,USA,English,6.4,0.801983,61.0,64.0
Assassin's Creed,2016,"Action, Adventure, Sci-Fi",115,"USA, France, UK, Hong Kong, Taiwan, Malta","English, Spanish, Arabic",5.7,240.697856,18.0,57.0
Dumb and Dumber To,2014,Comedy,109,USA,"English, Cantonese",5.6,169.83701,30.0,56.0
Inside Out,2015,"Animation, Adventure, Comedy",95,USA,English,8.1,858.07135,98.0,81.0
Dead Man Down,2013,"Action, Crime, Drama",118,USA,"English, French, Albanian, Spanish, Hungarian",6.5,18.074539,40.0,65.0
In the Blood,2014,"Action, Crime, Thriller",108,"UK, Puerto Rico, USA",English,5.7,0.59486,37.0,57.0
Tammy,2014,"Comedy, Romance",97,USA,English,4.9,100.375432,24.0,49.0
V/H/S,2012,"Horror, Sci-Fi, Thriller",116,USA,English,5.8,1.944287,57.0,58.0
Gayby,2012,"Comedy, Drama, Romance",85,USA,English,6.0,0.014062,90.0,60.0
Paranormal Activity 4,2012,"Horror, Mystery, Thriller",88,USA,"English, Ukrainian",4.6,142.802657,23.0,46.0
Transformers: Age of Extinction,2014,"Action, Adventure, Sci-Fi",165,"USA, China, Hong Kong",English,5.6,1104.054072,18.0,56.0
Absolutely Fabulous: The Movie,2016,"Comedy, Crime",91,"UK, USA","English, French",5.4,39.219109,58.0,54.0
Chennai Express,2013,"Action, Comedy",141,India,"Hindi, Tamil, English, Marathi",6.0,10.234653,50.0,60.0
The Comedy,2012,"Comedy, Drama",95,USA,English,6.4,0.041113,47.0,64.0
The Inevitable Defeat of Mister & Pete,2013,Drama,108,USA,English,7.5,0.506303,86.0,75.0
Elsa & Fred,2014,"Comedy, Drama, Romance",93,"USA, Canada, Mexico, Puerto Rico",English,6.5,0.761923,32.0,65.0
Hacksaw Ridge,2016,"Biography, Drama, History",139,"Australia, USA","English, Japanese",8.1,180.450918,84.0,81.0
The House with a Clock in Its Walls,2018,"Comedy, Family, Fantasy",105,"USA, Canada, India",English,6.0,131.457147,66.0,60.0
Pixels,2015,"Action, Comedy, Fantasy",105,"USA, China, Canada","English, Hindi, Japanese",5.5,244.874809,17.0,55.0
28 Hotel Rooms,2012,"Drama, Romance",82,USA,English,5.8,0.131208,47.0,58.0
Final Girl,2015,"Horror, Thriller",84,"Canada, USA",English,4.7,0.033411,31.0,47.0
Beasts of the Southern Wild,2012,"Adventure, Drama, Fantasy",93,USA,English,7.3,21.107746,87.0,73.0
San Andreas,2015,"Action, Adventure, Drama",114,USA,English,6.1,473.990832,50.0,61.0
Second Act,2018,"Comedy, Drama, Romance",103,USA,"English, Mandarin",5.8,72.294066,44.0,58.0
The Bling Ring,2013,"Biography, Crime, Drama",90,"USA, UK, France, Germany, Japan",English,5.6,20.045576,59.0,56.0
Long Shot,2019,"Comedy, Romance",125,"USA, Canada, Colombia","English, Swedish, French, Vietnamese, Russian, Hebrew",6.8,53.873809,81.0,68.0
Saving Mr. Banks,2013,"Biography, Comedy, Drama",125,"USA, UK, Australia",English,7.5,117.867984,79.0,75.0
The Accountant,2016,"Action, Crime, Drama",128,USA,"English, Indonesian, French",7.3,155.160045,52.0,73.0
Two Night Stand,2014,"Comedy, Romance",86,USA,English,6.4,0.492332,38.0,64.0
God Help the Girl,2014,"Drama, Music, Romance",112,UK,English,6.4,0.423306,67.0,64.0
The Walk,2015,"Adventure, Biography, Drama",123,USA,"English, French, Czech",7.3,61.181942,83.0,73.0
I Still See You,2018,"Fantasy, Horror, Sci-Fi",98,USA,English,5.8,1.620637,8.0,58.0
Getaway,2013,"Action, Crime, Thriller",90,"USA, Bulgaria",English,4.4,11.806432,3.0,44.0
Cocktail,2012,"Comedy, Drama, Romance",146,"UK, India",Hindi,6.3,2.724695,60.0,63.0
Good Kids,2016,"Comedy, Drama",86,USA,"English, French, Japanese",6.1,0.023627,33.0,61.0
Horrible Bosses 2,2014,"Comedy, Crime",108,USA,English,6.3,107.645357,34.0,63.0
St. Vincent,2014,"Comedy, Drama",102,USA,"English, Spanish",7.2,54.837234,77.0,72.0
Student of the Year,2012,"Comedy, Drama, Romance",146,India,Hindi,5.3,1.337281,50.0,53.0
Metallica Through the Never,2013,Music,93,USA,English,7.2,7.975812,79.0,72.0
Blood Ransom,2014,"Fantasy, Romance, Thriller",101,"USA, Philippines",English,4.7,0.220388,20.0,47.0
Jab Tak Hai Jaan,2012,"Drama, Romance",198,India,Hindi,6.7,6.797958,89.0,67.0
The Monuments Men,2014,"Comedy, Drama, History",118,"USA, Germany","English, German, Russian, French, Flemish, Dutch",6.1,156.706638,30.0,61.0
Yeh Jawaani Hai Deewani,2013,"Drama, Musical, Romance",160,India,"Hindi, English, French",7.1,6.189998,57.0,71.0
Barbara,2012,Drama,105,Germany,German,7.1,6.889185,94.0,71.0
The Kings of Summer,2013,"Adventure, Comedy, Drama",95,USA,"English, Spanish",7.1,1.501595,76.0,71.0
Into the Woods,2014,"Adventure, Comedy, Drama",125,USA,English,5.9,212.902372,71.0,59.0
English Vinglish,2012,"Comedy, Drama, Family",134,India,"Hindi, Tamil",7.8,3.064818,80.0,78.0
Premature,2014,"Comedy, Fantasy",93,USA,"English, French",5.8,0.415863,48.0,58.0
Earth to Echo,2014,"Adventure, Family, Sci-Fi",91,USA,English,5.8,45.681062,50.0,58.0
The Purge,2013,"Horror, Thriller",85,"USA, France",English,5.7,89.328627,40.0,57.0
Five Dances,2013,"Drama, Music, Romance",83,USA,English,7.1,0.005788,58.0,71.0
Stage Fright,2014,"Comedy, Horror, Musical",89,Canada,English,5.2,0.007078,37.0,52.0
Grown Ups 2,2013,Comedy,101,USA,"English, Spanish",5.4,246.984278,8.0,54.0
The Counselor,2013,"Crime, Drama, Thriller",117,"UK, USA","English, Spanish, Dutch",5.3,71.009334,33.0,53.0
About Time,2013,"Comedy, Drama, Fantasy",123,UK,English,7.8,87.100449,68.0,78.0
Prince Avalanche,2013,"Comedy, Drama",94,USA,"English, German",6.3,0.442313,82.0,63.0
Fatima,2020,Drama,113,"Portugal, USA",English,6.3,0.12827,62.0,63.0
Run All Night,2015,"Action, Crime, Drama",114,USA,English,6.6,71.561644,59.0,66.0
A Teacher,2013,"Drama, Romance",75,USA,English,4.8,0.008348,34.0,48.0
The Other Woman,2014,"Comedy, Romance",109,USA,English,6.0,196.710396,25.0,60.0
Addicted,2014,"Drama, Thriller",106,USA,"Spanish, English",5.2,17.534314,7.0,52.0
Before Midnight,2013,"Drama, Romance",109,"USA, Greece","English, Greek, French",7.9,20.994648,98.0,79.0
Transcendence,2014,"Action, Drama, Sci-Fi",119,"UK, China, USA",English,6.3,103.039258,19.0,63.0
The Bag Man,2014,"Action, Crime, Drama",108,"Bahamas, USA",English,5.2,0.46178,11.0,52.0
Madea's Witness Protection,2012,"Comedy, Crime, Drama",114,USA,English,4.9,66.899242,19.0,49.0
Closed Circuit,2013,"Crime, Drama, Mystery",96,"UK, USA",English,6.2,6.331939,43.0,62.0
Draft Day,2014,"Drama, Sport",110,USA,English,6.8,29.824199,59.0,68.0
Sweetwater,2013,"Thriller, Western",95,USA,English,6.2,0.006147,27.0,62.0
Home,2015,"Animation, Adventure, Comedy",94,USA,"English, French",6.6,386.041607,51.0,66.0
Lootera,2013,"Drama, Romance",136,India,Hindi,7.3,0.789671,60.0,73.0
Insidious: Chapter 2,2013,"Horror, Mystery, Thriller",106,"USA, Canada",English,6.6,161.919318,39.0,66.0
Plush,2013,"Drama, Thriller",99,USA,English,5.3,0.028864,33.0,53.0
The Mountain Between Us,2017,"Action, Adventure, Drama",112,USA,English,6.4,62.832209,38.0,64.0
Don Jon,2013,"Comedy, Drama, Romance",90,USA,English,6.5,39.439355,79.0,65.0
Some Velvet Morning,2013,Drama,84,USA,English,5.8,0.00642,54.0,58.0
Wild Card,2015,"Action, Crime, Drama",92,USA,English,5.6,6.738764,32.0,56.0
Rampage,2018,"Action, Adventure, Sci-Fi",107,USA,"English, American Sign Language",6.1,428.028233,51.0,61.0
Grave Encounters 2,2012,"Action, Adventure, Fantasy",98,"Canada, USA",English,5.1,1.552486,20.0,51.0
Calvary,2014,"Comedy, Drama",102,"Ireland, UK",English,7.4,16.887741,89.0,74.0
The Internship,2013,Comedy,119,USA,"English, Tagalog, Cantonese, Mandarin, Spanish",6.3,93.492844,35.0,63.0
Dear White People,2014,"Comedy, Drama, Romance",108,USA,English,6.1,4.633961,91.0,61.0
The Quiet Ones,2014,"Horror, Mystery, Thriller",98,UK,English,5.1,17.835162,37.0,51.0
Nightlight,2015,"Horror, Thriller",85,USA,English,4.4,0.077567,14.0,44.0
White Bird in a Blizzard,2014,"Drama, Mystery, Thriller",91,"France, USA",English,6.4,0.469701,54.0,64.0
Valerian and the City of a Thousand Planets,2017,"Action, Adventure, Fantasy",136,"France, China, Belgium, Germany, United Arab Emirates, USA, Canada, New Zealand, Singapore, UK, Thailand","English, French",6.5,225.874228,48.0,65.0
Think Like a Man Too,2014,"Comedy, Romance",106,USA,English,5.8,70.181428,22.0,58.0
Money Monster,2016,"Crime, Drama, Thriller",98,USA,"English, Korean, Icelandic, Russian",6.5,93.282604,59.0,65.0
A Haunted House,2013,"Comedy, Fantasy, Horror",86,USA,"English, Spanish",5.0,60.159584,9.0,50.0
I Give It a Year,2013,"Comedy, Romance",97,"UK, France, USA",English,5.7,29.128433,51.0,57.0
Miss You Already,2015,"Comedy, Drama, Romance",112,UK,English,6.8,7.573997,71.0,68.0
Big Hero 6,2014,"Animation, Action, Adventure",102,USA,English,7.8,657.868146,89.0,78.0
Spider-Man: Homecoming,2017,"Action, Adventure, Sci-Fi",133,USA,"English, Spanish",7.4,880.166924,92.0,74.0
The Book of Life,2014,"Animation, Adventure, Comedy",95,USA,"English, Spanish",7.3,99.783556,82.0,73.0
The Good Neighbor,2016,"Crime, Drama, Horror",98,USA,English,6.3,0.090573,29.0,63.0
Drinking Buddies,2013,"Comedy, Drama, Romance",90,USA,English,6.1,0.401914,83.0,61.0
Kung Fu Panda 3,2016,"Animation, Action, Adventure",95,"China, USA",English,7.1,521.170825,87.0,71.0
Gone Girl,2014,"Drama, Mystery, Thriller",149,USA,English,8.1,369.330363,87.0,81.0
Magic Mike XXL,2015,"Comedy, Drama, Music",115,USA,English,5.6,117.813057,65.0,56.0
Ghost Team One,2013,"Comedy, Horror",84,USA,English,4.3,0.009195,36.0,43.0
True Story,2015,"Crime, Drama, Mystery",99,USA,"English, Ibo",6.3,5.261595,45.0,63.0
Bad Milo!,2013,"Comedy, Horror",85,USA,English,5.6,0.019613,62.0,56.0
Hellboy,2019,"Action, Adventure, Fantasy",120,"USA, UK, Bulgaria, Canada, Portugal, France","English, Spanish, Russian, German",5.2,44.665289,18.0,52.0
A Perfect Man,2013,"Drama, Romance",95,USA,English,5.2,0.014147,20.0,52.0
"Berlin, I Love You",2019,"Drama, Romance",120,Germany,"English, German",4.6,0.163908,11.0,46.0
Finding Dory,2016,"Animation, Adventure, Comedy",97,USA,"English, Indonesian",7.3,1028.570889,94.0,73.0
The Grand Budapest Hotel,2014,"Adventure, Comedy, Crime",99,"Germany, USA","English, French, German",8.1,172.940046,91.0,81.0
Love the Coopers,2015,"Comedy, Fantasy, Romance",107,USA,English,5.8,42.426912,18.0,58.0
The SpongeBob Movie: Sponge Out of Water,2015,"Animation, Action, Adventure",92,"USA, South Korea, Australia",English,6.0,325.186032,81.0,60.0
Contracted,2013,"Drama, Horror, Thriller",84,USA,English,5.3,0.058221,53.0,53.0
Muppets Most Wanted,2014,"Adventure, Comedy, Crime",107,USA,"English, German",6.4,80.383113,80.0,64.0
The Possession of Michael King,2014,Horror,83,USA,English,5.7,2.405143,32.0,57.0
Jumanji: Welcome to the Jungle,2017,"Action, Adventure, Comedy",119,"USA, India, Canada, UK, Australia, Germany",English,6.9,962.102237,76.0,69.0
My Friend Dahmer,2017,"Biography, Drama, Horror",107,USA,English,6.2,1.436751,86.0,62.0
The Canyons,2013,"Drama, Thriller",99,USA,English,3.8,0.270185,21.0,38.0
Minions,2015,"Animation, Adventure, Comedy",91,USA,"English, Spanish",6.4,1159.443129,55.0,64.0
22 Jump Street,2014,"Action, Comedy, Crime",112,USA,English,7.0,331.333876,85.0,70.0
Frozen,2013,"Animation, Adventure, Comedy",102,USA,"English, Norwegian",7.4,1280.803353,90.0,74.0
In a World...,2013,Comedy,93,USA,"English, Russian",6.7,3.114953,92.0,67.0
Zero Charisma,2013,"Comedy, Drama",86,USA,English,6.2,0.009417,76.0,62.0
Falcon Rising,2014,"Action, Adventure, Crime",103,USA,English,5.8,0.267476,43.0,58.0
Concussion,2013,Drama,96,USA,English,5.7,0.078957,75.0,57.0
Sherlock Gnomes,2018,"Animation, Adventure, Comedy",86,"UK, USA, India, Canada, France, Belgium","English, Mandarin",5.2,90.497778,27.0,52.0
Free the Nipple,2014,"Comedy, Drama",78,USA,English,3.9,0.004198,18.0,39.0
Jessabelle,2014,"Drama, Horror, Mystery",90,USA,English,5.4,6.998359,28.0,54.0
Olympus Has Fallen,2013,"Action, Thriller",119,USA,"English, Korean",6.5,170.270201,49.0,65.0
The Selfish Giant,2013,Drama,91,UK,English,7.3,1.114027,98.0,73.0
Mandela: Long Walk to Freedom,2013,"Biography, Drama, History",141,"UK, South Africa, France","English, Afrikaans, Xhosa",7.1,27.985788,61.0,71.0
The 5th Wave,2016,"Action, Adventure, Sci-Fi",112,"USA, UK",English,5.2,109.906372,15.0,52.0
Reasonable Doubt,2014,"Crime, Drama, Thriller",91,"Canada, Germany, USA",English,5.7,0.602802,22.0,57.0
Wild,2014,"Biography, Drama",115,USA,English,7.1,52.501541,88.0,71.0
We Are What We Are,2013,"Drama, Horror, Thriller",105,"USA, France",English,5.9,0.159047,86.0,59.0
The Gallows,2015,"Horror, Mystery, Sci-Fi",81,USA,English,4.2,42.96441,14.0,42.0
The Hobbit: The Battle of the Five Armies,2014,"Adventure, Fantasy",144,"New Zealand, USA",English,7.4,956.019788,59.0,74.0
Homefront,2013,"Action, Crime, Thriller",100,USA,English,6.5,48.449416,43.0,65.0
Afternoon Delight,2013,"Comedy, Drama",98,USA,English,5.7,0.175755,66.0,57.0
Behaving Badly,2014,"Comedy, Romance",97,USA,English,4.4,0.422697,0.0,44.0
Galveston,2018,"Action, Crime, Drama",91,USA,English,6.2,0.225795,73.0,62.0
Alien: Covenant,2017,"Horror, Sci-Fi, Thriller",122,"USA, UK",English,6.4,240.891763,65.0,64.0
Blue Iguana,2018,"Action, Comedy, Crime",100,UK,English,5.5,0.04105,39.0,55.0
The Better Angels,2014,"Biography, Drama, History",95,USA,English,6.1,0.070918,45.0,61.0
Endless Love,2014,"Drama, Romance",104,USA,English,6.3,34.718173,16.0,63.0
Hell Baby,2013,"Comedy, Horror",98,USA,English,4.9,0.008785,31.0,49.0
Jannat 2,2012,"Crime, Drama, Thriller",150,India,Hindi,6.1,11.798448,0.0,61.0
The Babadook,2014,"Drama, Horror",94,"Australia, Canada",English,6.8,10.31254,98.0,68.0
Fifty Shades of Grey,2015,"Drama, Romance, Thriller",125,USA,English,4.1,569.651467,25.0,41.0
Strangerland,2015,"Drama, Mystery, Thriller",112,"Ireland, Australia",English,5.2,0.111107,41.0,52.0
A Girl Walks Home Alone at Night,2014,"Drama, Horror",101,USA,Persian,7.0,0.546352,96.0,70.0
The Identical,2014,"Drama, Music",107,USA,English,5.2,2.840991,6.0,52.0
The Captive,2014,"Crime, Drama, Mystery",112,Canada,English,5.9,2.096212,30.0,59.0
Dark Touch,2013,Horror,90,"France, Ireland, Sweden",English,4.8,0.256979,64.0,48.0
Mary Queen of Scots,2018,"Biography, Drama, History",124,"UK, USA","English, French, Scottish Gaelic, Latin",6.3,46.712809,62.0,63.0
Rememory,2017,"Drama, Mystery, Sci-Fi",111,"UK, USA, Canada",English,6.2,0.070124,25.0,62.0
The Fitzgerald Family Christmas,2012,Drama,99,USA,English,6.2,0.050292,64.0,62.0
The Expendables 3,2014,"Action, Adventure, Thriller",126,"USA, France, Germany, Bulgaria","English, Romanian, Spanish",6.1,214.657577,32.0,61.0
Fruitvale Station,2013,"Biography, Crime, Drama",85,USA,"English, Spanish",7.5,17.38583,94.0,75.0
Snatched,2017,"Action, Adventure, Comedy",90,USA,"English, Spanish",4.5,60.845711,36.0,45.0
Blue Jasmine,2013,Drama,98,USA,English,7.3,99.104804,91.0,73.0
White House Down,2013,"Action, Drama, Thriller",131,USA,English,6.4,205.366737,52.0,64.0
Parkland,2013,"Drama, History, Mystery",93,USA,English,6.4,1.412181,50.0,64.0
Haunter,2013,"Fantasy, Horror, Mystery",97,"Canada, France",English,5.9,1.489366,56.0,59.0
The Rover,2014,"Action, Crime, Drama",103,"Australia, USA","English, Chinese",6.4,2.510007,66.0,64.0
The Mummy,2017,"Action, Adventure, Fantasy",111,"USA, China, Japan","English, Egyptian (Ancient)",5.4,409.231607,16.0,54.0
Mississippi Grind,2015,"Comedy, Drama",108,USA,English,6.4,0.422746,91.0,64.0
Grace Unplugged,2013,"Drama, Music",102,USA,English,6.1,2.507201,50.0,61.0
Barefoot,2014,"Comedy, Drama, Romance",90,USA,English,6.6,0.015071,17.0,66.0
Bhaag Milkha Bhaag,2013,"Biography, Drama, Sport",186,India,Hindi,8.2,2.325917,72.0,82.0
Jobs,2013,"Biography, Drama",128,"USA, Switzerland",English,5.9,42.128352,28.0,59.0
Rio 2,2014,"Animation, Adventure, Comedy",101,USA,"English, Portuguese",6.3,498.781117,48.0,63.0
Unfinished Business,2015,"Comedy, Drama",91,USA,English,5.4,14.431253,10.0,54.0
Last Ounce of Courage,2012,"Drama, War",101,USA,English,3.7,3.329674,0.0,37.0
Days and Nights,2014,"Comedy, Drama",92,USA,English,4.7,0.013243,0.0,47.0
The Intern,2015,"Comedy, Drama",121,USA,English,7.1,194.564672,60.0,71.0
Runner Runner,2013,"Crime, Thriller",88,USA,"English, Spanish",5.6,62.675095,8.0,56.0
The Disappointments Room,2016,"Drama, Horror, Thriller",91,USA,English,3.9,5.74504,0.0,39.0
Touchy Feely,2013,"Comedy, Drama",88,USA,English,5.3,0.036128,40.0,53.0
"Where'd You Go, Bernadette",2019,"Comedy, Drama",109,USA,English,6.5,10.821453,49.0,65.0
A Private War,2018,"Biography, Drama, War",110,"UK, USA",English,6.7,3.915207,88.0,67.0
Bird People,2014,"Drama, Fantasy, Romance",127,France,"French, English, Japanese",6.0,0.866211,60.0,60.0
Short Term 12,2013,Drama,96,USA,English,8.0,1.645164,98.0,80.0
Down a Dark Hall,2018,"Drama, Fantasy, Horror",96,"Spain, USA",English,5.1,2.707199,50.0,51.0
Deliver Us from Evil,2014,"Horror, Mystery, Thriller",118,USA,"English, Spanish, Latin, Italian",6.2,87.937815,29.0,62.0
The Glass Castle,2017,"Biography, Drama",127,USA,English,7.1,22.088533,52.0,71.0
Man Up,2015,"Comedy, Drama, Romance",88,"UK, France, USA",English,6.8,6.135977,80.0,68.0
Spectre,2015,"Action, Adventure, Thriller",148,"UK, USA, Austria, Mexico, Italy, Morocco","English, Spanish, Italian, German, French",6.8,880.674609,63.0,68.0
Coco,2017,"Animation, Adventure, Family",105,USA,"English, Spanish",8.4,807.08367,97.0,84.0
Brooklyn,2015,"Drama, Romance",117,"UK, Canada, Ireland, USA","English, Latin, Irish",7.5,62.076141,97.0,75.0
Sundown,2016,"Action, Comedy, Romance",103,"Mexico, USA",English,5.4,0.229963,9.0,54.0
Focus,2015,"Comedy, Crime, Drama",105,"USA, Argentina","English, Spanish",6.6,158.762963,56.0,66.0
The Huntsman: Winter's War,2016,"Action, Adventure, Drama",114,"USA, China",English,6.1,164.989338,19.0,61.0
Road to Paloma,2014,"Drama, Thriller",91,USA,English,6.1,0.002191,57.0,61.0
How to Train Your Dragon: The Hidden World,2019,"Animation, Action, Adventure",104,"USA, Japan",English,7.5,521.800153,90.0,75.0
Dark Skies,2013,"Horror, Sci-Fi, Thriller",97,USA,English,6.3,27.858103,41.0,63.0
Delivery Man,2013,"Comedy, Drama",105,"USA, India, Canada",English,6.4,53.120346,39.0,64.0
Ain't Them Bodies Saints,2013,"Crime, Drama, Romance",96,USA,English,6.4,1.031243,77.0,64.0
Cuban Fury,2014,"Comedy, Romance, Sport",98,UK,"English, Persian, Spanish",6.2,5.678942,54.0,62.0
Enough Said,2013,"Comedy, Drama, Romance",93,USA,English,7.0,25.288872,95.0,70.0
Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",141,USA,"English, Korean",7.3,1402.808753,76.0,73.0
Mudbound,2017,"Drama, War",134,USA,English,7.4,0.117344,97.0,74.0
The Homesman,2014,"Drama, Western",122,"USA, France","English, Danish",6.6,3.819421,81.0,66.0
Smurfs: The Lost Village,2017,"Animation, Adventure, Comedy",90,"USA, Hong Kong, Canada",English,6.0,197.183546,40.0,60.0
Tracers,2015,"Action, Crime, Drama",94,USA,"English, Chinese, Vietnamese",5.6,3.340503,24.0,56.0
Anomalisa,2015,"Animation, Comedy, Drama",90,"UK, USA","English, Italian, Japanese",7.3,5.659286,92.0,73.0
Dark Places,2015,"Crime, Drama, Mystery",113,"USA, UK, France",English,6.2,5.090852,23.0,62.0
The November Man,2014,"Action, Thriller",108,"USA, UK","English, Russian",6.3,39.661919,35.0,63.0
Carol,2015,"Drama, Romance",118,"UK, USA, Australia",English,7.2,40.272135,94.0,72.0
Ping Pong Summer,2014,"Comedy, Drama, Sport",92,USA,English,5.4,0.052909,59.0,54.0
The Starving Games,2013,"Comedy, Sci-Fi",83,USA,English,3.2,3.906308,0.0,32.0
Catch Hell,2014,"Crime, Drama, Thriller",98,USA,English,5.5,0.037166,0.0,55.0
The Family,2013,"Comedy, Crime, Thriller",111,"USA, France","English, French, Italian",6.3,78.418811,28.0,63.0
The Magnificent Seven,2016,"Action, Adventure, Western",132,"USA, Australia","English, North American Indian, Spanish",6.9,162.360636,64.0,69.0
The Heat,2013,"Action, Comedy, Crime",117,USA,"English, Spanish, Bulgarian",6.6,229.930771,66.0,66.0
Copperhead,2013,Drama,120,USA,English,5.5,0.17174,21.0,55.0
Ironclad: Battle for Blood,2014,"Action, Adventure, Drama",108,"UK, Serbia",English,4.4,0.115791,17.0,44.0
The Happy Prince,2018,"Biography, Drama",105,"UK, Belgium, Italy, Germany","Latin, English, French, Italian",6.2,2.621992,72.0,62.0
Atomic Blonde,2017,"Action, Thriller",115,"USA, Germany, Sweden, Hungary","English, German, Russian, Swedish",6.7,100.014025,78.0,67.0
Open Windows,2014,"Crime, Mystery, Thriller",100,"Spain, USA","English, Spanish, French",5.2,0.550108,42.0,52.0
Goon: Last of the Enforcers,2017,"Comedy, Sport",101,Canada,English,5.8,0.124875,43.0,58.0
Philomena,2013,"Biography, Comedy, Drama",98,"UK, USA, France",English,7.6,100.129872,90.0,76.0
Last Weekend,2014,"Comedy, Drama",94,USA,English,5.5,0.027053,38.0,55.0
Project Almanac,2015,"Drama, Mystery, Sci-Fi",106,USA,English,6.4,33.213241,36.0,64.0
The Duel,2016,"Drama, Western",110,USA,"English, Spanish",5.8,0.020672,26.0,58.0
Goodbye to All That,2014,"Comedy, Drama, Romance",87,USA,English,5.2,0.016986,62.0,52.0
Joy,2015,"Biography, Drama",124,USA,"English, Spanish, French",6.6,101.134059,61.0,66.0
V/H/S/2,2013,"Horror, Sci-Fi, Thriller",96,"USA, Canada, Indonesia","English, Indonesian",6.0,0.805574,70.0,60.0
The Peanuts Movie,2015,"Animation, Comedy, Family",88,USA,English,7.1,246.233113,87.0,71.0
Isn't It Romantic,2019,"Comedy, Fantasy, Romance",89,USA,English,5.9,48.791187,70.0,59.0
Masterminds,2016,"Biography, Comedy, Crime",95,USA,"English, Spanish",5.8,29.674699,34.0,58.0
The Single Moms Club,2014,"Comedy, Drama",111,USA,English,5.3,16.365451,18.0,53.0
And So It Goes,2014,"Comedy, Drama, Romance",94,USA,English,5.8,25.419147,18.0,58.0
Left Behind,2014,"Action, Drama, Fantasy",110,"USA, Canada",English,3.1,27.405896,1.0,31.0
Paranormal Activity: The Ghost Dimension,2015,"Horror, Mystery, Thriller",88,USA,"English, German, Ukrainian",4.6,78.903124,14.0,46.0
Paranormal Activity: The Marked Ones,2014,"Horror, Mystery, Thriller",84,USA,"English, Spanish",5.0,90.894962,39.0,50.0
Mr. Turner,2014,"Biography, Drama, History",150,"UK, France, Germany, USA",English,6.8,22.179785,97.0,68.0
Rob the Mob,2014,"Crime, Drama",104,USA,English,6.3,0.209613,81.0,63.0
"Extremely Wicked, Shockingly Evil and Vile",2019,"Biography, Crime, Drama",110,USA,English,6.6,9.813468,54.0,66.0
Star Wars: Episode VII - The Force Awakens,2015,"Action, Adventure, Sci-Fi",138,USA,English,7.9,2068.224036,92.0,79.0
Last Knights,2015,"Action, Drama, History",115,"UK, USA, South Korea, Czech Republic",English,6.2,1.797955,16.0,62.0
Stretch,2014,"Comedy, Crime",94,USA,English,6.5,0.004833,88.0,65.0
Bone Tomahawk,2015,"Drama, Horror, Western",132,"USA, UK",English,7.1,0.382579,90.0,71.0
Burnt,2015,"Comedy, Drama",101,"USA, UK","English, French, Italian",6.6,36.606743,28.0,66.0
Alien Abduction,2014,"Horror, Sci-Fi, Thriller",85,USA,English,4.9,0.082725,28.0,49.0
Hotel Transylvania 2,2015,"Animation, Comedy, Family",89,USA,English,6.7,474.8,56.0,67.0
