original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating,imdb_scaled
The Manchurian Candidate,1962,"Drama, Thriller",126,USA,"English, Spanish",7.9,2.757256,97.0,79.0
The Miracle Worker,1962,"Biography, Drama",106,USA,"English, American Sign Language",8.1,0.004139,96.0,81.0
Billy Liar,1963,"Comedy, Drama, Romance",98,UK,English,7.3,0.029153,94.0,73.0
The Birds,1963,"Drama, Horror, Mystery",119,USA,English,7.7,0.032655,95.0,77.0
Charade,1963,"Comedy, Mystery, Romance",113,USA,"English, French, German, Italian, Spanish",7.9,0.173057,94.0,79.0
Cleopatra,1963,"Biography, Drama, History",192,"Switzerland, UK, USA",English,7.0,57.777778,62.0,70.0
The Great Escape,1963,"Adventure, Drama, History",172,USA,"English, German, French, Russian, Spanish",8.2,0.22794,94.0,82.0
The Haunting,1963,Horror,112,UK,English,7.5,0.000742,88.0,75.0
The Pink Panther,1963,"Comedy, Crime, Romance",115,USA,"English, Italian",7.1,10.878107,89.0,71.0
The Sword in the Stone,1963,"Animation, Adventure, Comedy",79,USA,English,7.2,12.0,66.0,72.0
This Sporting Life,1963,"Drama, Sport",134,UK,English,7.7,0.000813,95.0,77.0
Becket,1964,"Biography, Drama, History",148,"UK, USA","English, Latin, Welsh",7.8,0.149327,76.0,78.0
Cheyenne Autumn,1964,"Drama, History, Western",154,USA,English,6.8,0.01098,57.0,68.0
Goldfinger,1964,"Action, Adventure, Thriller",110,UK,"English, Chinese, Spanish",7.7,51.160174,99.0,77.0
A Hard Day's Night,1964,"Comedy, Music, Musical",87,UK,"English, German, French",7.6,2.360561,98.0,76.0
"Kiss Me, Stupid",1964,"Comedy, Romance",125,USA,English,7.0,0.008869,73.0,70.0
Marnie,1964,"Crime, Drama, Mystery",130,USA,English,7.2,0.007095,83.0,72.0
Mary Poppins,1964,"Comedy, Family, Fantasy",139,USA,English,7.8,103.082283,100.0,78.0
The Night of the Iguana,1964,Drama,125,USA,"English, Spanish",7.6,0.003942,71.0,76.0
Sex and the Single Girl,1964,"Comedy, Romance",110,USA,English,6.5,0.00649,50.0,65.0
A Shot in the Dark,1964,"Comedy, Mystery",102,"UK, USA","English, Spanish",7.5,12.368234,94.0,75.0
Darling,1965,"Drama, Romance",128,UK,English,7.1,0.000137,67.0,71.0
Doctor Zhivago,1965,"Drama, Romance, War",197,"Italy, USA","English, Russian, French",8.0,111.918564,84.0,80.0
Major Dundee,1965,"Adventure, War, Western",123,USA,"English, French, Spanish",6.7,0.020807,97.0,67.0
Repulsion,1965,"Drama, Horror, Thriller",105,UK,English,7.7,0.033174,95.0,77.0
